ticker,name,category,revenue,revenue_growth_yoy,gross_margin,operating_margin,net_margin,rd_intensity,ebitda_margin,eps_diluted,free_cash_flow,fcf_margin,roe,roa,current_ratio,debt_to_equity,cash_position
NVDA,NVIDIA Corporation,top-tier,130497000000.0,1.1420340763599357,0.7498869705816992,0.6241752683969747,0.5584802715771244,0.0989601293516326,0.6600688138424639,2.94,60853000000.0,0.46631723334636044,0.9187288060811577,0.6530407433625147,4.439851498864077,0.1294641168832806,8589000000.0
TSM,Taiwan Semiconductor Manufacturing,top-tier,90447115625.0,0.3388813286063912,0.561223535424378,0.45675969420943047,0.40022703874919724,0.07054598928787012,0.718352095045043,7.0703125,26912359375.0,0.2975480112221655,0.2729282433136562,0.17310533946299697,2.359942059635386,0.24669565400758883,66488343750.0
AVGO,Broadcom Inc.,top-tier,63887000000.0,0.23874432853763525,0.6776652527118193,0.40814250160439525,0.3619828760154648,0.1718189929093556,0.5433656299403634,4.77,26914000000.0,0.4212750637844945,0.2844806377011268,0.13516704463095877,1.7053581073782003,0.8012596565467697,16178000000.0
INTC,Intel Corporation,top-tier,52853000000.0,-0.004670345191239336,0.34766238434904356,-0.0004351692429947212,-0.005051747299112633,0.26060961534823,0.2715834484324447,-0.06,-4949000000.0,-0.0936370688513424,-0.002336346374287939,-0.0012628352780365986,2.017038796516231,0.4076355649670549,14265000000.0
QCOM,Qualcomm Incorporated,top-tier,44284000000.0,0.1365946306657769,0.5542859723602204,0.2798753500135489,0.1251241983560654,0.20418209737151116,0.3371195014000542,5.01,12820000000.0,0.28949507722879597,0.26129397340375365,0.1105039586781804,2.8164916885389326,0.6984344053569744,5520000000.0
MU,Micron Technology Inc.,top-tier,37378000000.0,0.48851101111066864,0.39790786023864305,0.2624270961528172,0.22844989030980792,0.10161057306436941,0.49448873669003157,7.59,1668000000.0,0.04462518058751137,0.1576479276285424,0.1031305103988019,2.5179849834119086,0.28206406350964647,9642000000.0
ASML,ASML Holding N.V.,top-tier,35280684000.0,0.15583680372502454,0.5282958799778371,0.34595451720833986,0.29415960302810457,0.14383802763007655,0.3773590103865333,26.6868,11909484000.0,0.33756386355774737,0.4899705285485565,0.19003452872053886,1.2617963311751204,0.13812830788998684,13949280000.0
AMD,Advanced Micro Devices,top-tier,34639000000.0,0.34337793290672874,0.4951644100580271,0.10664280146655504,0.12514795461762754,0.23358064609255463,0.21002338404688356,2.65,6735000000.0,0.19443401945783653,0.06881061604152447,0.056352858591373525,2.850026441036489,0.0610644613406562,5539000000.0
AMAT,Applied Materials Inc.,top-tier,28368000000.0,0.04386223138062997,0.4867456288776086,0.2985758601240835,0.24668640721940213,0.1258460236886633,0.35162859560067683,8.66,5698000000.0,0.20086012408347434,0.34278716629928974,0.1927876801013802,2.6104513064133017,0.3453343130051433,7241000000.0
LRCX,Lam Research Corporation,top-tier,18435591000.0,0.23684089764599187,0.48705023885591736,0.32008564303688447,0.29064525243589967,0.1137141196070145,0.35380525636525567,4.15,5414078000.0,0.29367531531807145,0.5433405001754783,0.25102608260569326,2.210118102893768,0.45474328302482586,6390659000.0
TXN,Texas Instruments Incorporated,top-tier,17682000000.0,0.13049037785307846,0.5702409229725144,0.34724578667571543,0.2828299966067187,0.11780341590317837,0.46668928854202013,5.45,2603000000.0,0.1472118538626852,0.3073188717507528,0.14460026022842273,4.352643241532131,0.8632704479813188,3225000000.0
NXPI,NXP Semiconductors N.V.,top-tier,12614000000.0,-0.049864416993070204,0.5643729189789123,0.27524972253052166,0.19898525447915016,0.18606310448707786,0.35056286665609643,9.73,1906000000.0,0.15110195021404788,0.27333115539584013,0.10293213040803773,2.357972885732731,1.1819666775563542,3031000000.0
KLAC,KLA Corporation,top-tier,12156162000.0,0.23887647752854163,0.6090980853989936,0.41248438446279345,0.33412215138297763,0.11190489235006905,0.4393411341507295,,3741694000.0,0.3078022487689782,0.8655692449130551,0.2527795435453213,2.618532990519593,1.297462542512413,2078908000.0
ADI,Analog Devices Inc.,top-tier,11019707000.0,0.1689321605654812,0.614669518890112,0.27246423158074895,0.20575338346110292,0.16025843518344,0.4563345468259728,4.56,4278650000.0,0.38827257385337016,0.06704987068897324,0.047243464799405374,2.1899250755052453,0.256229973277249,2499406000.0
UMC,United Microelectronics Corporation,mid-cap,7259455750.0,0.04390173142859711,0.325670419576564,0.22069766989763662,0.2099817365785307,0.06722283812391859,0.460137748618414,0.584375,79032093.75,0.010886779460016682,0.13347732088992353,0.08707962046914935,2.450639458270337,0.19282385033044921,3281257062.5
GFS,GlobalFoundries Inc.,mid-cap,6750000000.0,-0.08685064935064934,0.24459259259259258,0.10785185185185185,-0.03925925925925926,0.07348148148148148,0.22281481481481483,-0.48,1097000000.0,0.1625185185185185,-0.024591685226429103,-0.015774748496934343,2.107752956636005,0.21529324424647364,2192000000.0
AMKR,Amkor Technology Inc.,lesser-known,6317692000.0,-0.028505481645962328,0.14771407026490055,0.06940113573121323,0.056035020384026316,0.025792805347269226,0.17263013138342292,1.43,345072000.0,0.05461994665140371,0.08531345002885858,0.05097858280887654,2.111952723712013,0.3132591645590059,1133553000.0
ON,ON Semiconductor Corporation,top-tier,5995400000.0,-0.15346709402312808,0.33090369283117055,0.1252793808586583,0.020182139640390968,0.09734129499282783,0.14814691263301866,0.29,1418600000.0,0.23661473796577376,0.015768965112793715,0.009661372873100663,4.522093655354508,0.39159162290018634,2147600000.0
MRVL,Marvell Technology Inc.,top-tier,5767300000.0,0.04713401238266427,0.4130529017044371,-0.0635305949057618,-0.15345135505349122,0.33818251174726477,0.11298181124616372,-1.02,1389600000.0,0.24094463613822759,-0.0659119684218366,-0.04380212328936623,1.5395204262877442,0.3234601921501452,948300000.0
MCHP,Microchip Technology Incorporated,top-tier,4401600000.0,-0.42345174473436026,0.5606824790985097,0.0853098873137041,-0.00011359505634314795,0.2235096328607779,0.23636859323882226,-0.01,772100000.0,0.17541348600508905,-7.063843013152875e-05,-3.252117128250491e-05,2.589645918102329,0.8004888179365102,771700000.0
